Name,Location,Website,contact,mapLocation
Hotel Vintage Home,"Balakhu-2, Durbar square, भक्तपुर 44800",01-6616172,MCFH+5J भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
स्वस्तिक गेस्ट हाउस,"Bekhal - 10, भक्तपुर 44800",985-1000425,MCGM+6F भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
होटेल ल्यायाकु दरबार,"Yalachhen Road, भक्तपुर 44800",hotellayakudurbar.com,01-6618491,MCFH+9M भक्तपुर
Bhaktapur Paradise Hotel,"F099, Bagmati, Central Region, सुर्यविनायक 44800",bhaktapurparadise.com,01-5092720,MC5F+J8 सुर्यविनायक
तुलजा बुटिक होटल,"durbar square, भक्तपुर 44800",01-6618144,MCFH+7M भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Golden Gate Guest House,भक्तपुर 44800,यहाँ अवस्थित छ: भक्तपुर दरबार क्षेत्र,01-6610534,MCCH+JG भक्तपुर
Hotel BhaktapurInn,"Byasi -2, 44800",01-6612220,MCFH+P8 भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Hotel Durbar Side,"Yalachhen Road, भक्तपुर 44800",984-3269971,MCFH+8P भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
शुभ गेस्ट हाउस,"Bolachhen-4, Pottery Square, Bhaktapur 44800 Bhaktapur 44800, Bagmati, Nepal, 44800",btdc.com.np,01-6612419,MCCH+39 भक्तपुर
Hotel Traditional and Rooftop cafe,"Durbar Square, भक्तपुर 44800",यहाँ अवस्थित छ: भक्तपुर दरबार क्षेत्र,hoteltraditional.com,985-1102207
भक्तपुर गेष्ट हाउस,"chundevi, सुर्यविनायक 44800",bhaktapurguesthouse.com.np,01-5092197,MC78+JH सुर्यविनायक
कुमारी अतिथि हाउस,"देगमाना मार्ग, भक्तपुर 44800",kumariguesthouse.com.np,01-6618266,MCCH+JF भक्तपुर
Cosy Hotel,"Pottery Square,, भक्तपुर 44800",cosyhotel.com.np,984-1231795,MCCH+38 भक्तपुर
होटल ग्रिनल्यान्ड,भक्तपुर 44800,01-6618115,MCF6+5F भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Taleju Grand Hotel,"Darbar Square, भक्तपुर 44800",984-9761715,MCFH+3H भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Hotel Bhadgaon,"Barahisthan, भक्तपुर 44800",यहाँ अवस्थित छ: KTM CTY - Bhaktapur,hotelbhadgaon.com,01-6620038
Hotel Garuda,"Taumadhi Square, भक्तपुर 44800",hotelgaruda.com.np,01-6620537,MCCH+8H भक्तपुर
Hotel Empire & Rooftop Restaurant,"Taumadhi Square, Nyatapola 44800",hotelempire.com.np,986-0116645,MCCH+MP भक्तपुर
Fortune Resort & Wellness Spa,"JFWG+84F, Chitaol-05, भक्तपुर 44800",011-661315,JFWG+84 भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
ठूलो घण्टा भोजनालय तथा अतिथि गृह,"MCFM+3V3, Inacho - Hanumanghat Rd, भक्तपुर 44800",01-6611675,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Inn Sangrahalaya,"Balakhu Ganesh Durbar Square, भक्तपुर 44800",985-1170773,MCFH+3P भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Hotel Garuda,"Taumadhi Square, भक्तपुर 44800",hotelgaruda.com.np,01-6620537,MCCH+8H भक्तपुर
होटल हेरिटेज,सुर्यविनायक 44800,hotelheritage.com.np,01-6611628,MC8F+XX सुर्यविनायक
Annapurna Guest House,"Taumadhi Tole, भक्तपुर 00488",984-1567239,MCCH+MR भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
होटल मनोहरा,"Thimi-16, Lokanthali, Bhaktapur 44811",01-6639320,M9J6+G7 मध्यपुर ठिमी,तपाईंको फोनमा पठाउनुहोस्
The Nanee,"Itachhen 2, भक्तपुर 44800",thenanee.com,01-5915110,MCFG+37 भक्तपुर
Hotel Rupakot & Roof Top Restaurent,"MCCH+5GF, बोलाछें सडक, भक्तपुर 44800",984-3519823,तपाईंको फोनमा पठाउनुहोस्,MCFG+37 भक्तपुर
The Nest Guest House,चाँगुनारायण 44600,01-5141181,PC8G+QH चाँगुनारायण,तपाईंको फोनमा पठाउनुहोस्
Indrayani Boutique Hotel & Cafe,भक्तपुर 44800,indrayanihotel.com,01-6612770,MCFG+3P भक्तपुर
HOTEL CENTRAL BHAKTAPUR,"Ganesh Temple, Durbar square -2 Nearby Balakhu, भक्तपुर 44500",centralbhaktapur.com.np,984-1112478,MCFH+4V भक्तपुर
Laxmi homestay,भक्तपुर 44800,facebook.com,984-9125800,MCFG+3M भक्तपुर
Manju Baha Hotel & Restaurant,"MCFM+WGR, भक्तपुर 44800",manjubahahotelschool.com,976-7234014,तपाईंको फोनमा पठाउनुहोस्
बज्र गेस्टहाउस एन्ड रुफटप रेस्टुरेन्ट,"नगरकोट सडक 10, भक्तपुर 44800",01-6610782,MCFH+2R भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
ग्रीन हिल resort,"suryabinayak Suryabinayak-10, 44806",980-1177560,JFWG+69 सुर्यविनायक,तपाईंको फोनमा पठाउनुहोस्
Siddhi Laxmi Guest House and Cafe,भक्तपुर 44800,01-6612500,MCCH+6Q भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Peacock Guest House,"दत्तात्रय मन्दिर, भक्तपुर 44800",peacockguesthousenepal.com,01-6611829,MCFM+8X भक्तपुर
Mahamanjushree homestay,"Doodhpati, भक्तपुर",981-8349449,MC9C+XR भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Shekhar shared home,"Inacho - Hanumanghat Rd, भक्तपुर 44800",985-1052236,MCFM+3V भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Milla Guesthouse,"Devli 10, भक्तपुर 44800",millaguesthousebhaktapur.com,981-7849759,MCFM+PH भक्तपुर
माउन्टेन गेस्ट हाउस,"Durbar square balakhu, भक्तपुर 44800",984-1369029,MCFH+2M भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Grand Norling Hotel's Resort,"मूलपानी - साँखु रोड, गोकर्णेश्वर 44600",norlingresort.com.np,01-4910193,P9CR+XF गोकर्णेश्वर
Hotel Tryst,"MCCC+PV7, dudhpati street, नगरकोट सडक, भक्तपुर 44800",01-6619960,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Kathmandu Airport View Hotel & Lodge,"Hatti Danda Rd, काठमाडौँ 44600",985-1103558,P928+C8 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
सनी गेस्ट हाउस,"Near Nyatapola Temple, Taumadi Marg, Taumadi 44800",984-3680588,MCCH+GV भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
प्लानेट भक्तपुर होटल,"7, cha vdc, Mandev Marg, भक्तपुर 44800",facebook.com,985-1170947,MCJJ+R3 भक्तपुर
Sweet Inn,"Tripurasundari Marg, भक्तपुर 44800",984-9425951,MCFJ+52 भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Hotel Terracotta And Rooftop Restaurant,"MCCH+PCC, Durbar square, भक्तपुर 44800",01-6610230,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
हार्ट अफ भक्तपुर गेस्ट हाउस,"Taumadhi Square, भक्तपुर 11",oyorooms.com,01-4217474,MCCJ+33 भक्तपुर
"Dragon Homestay, Bhaktapur","Pandubazaar height, Gumba Marg, भक्तपुर 44800",dragonhomestay22.wixsite.com,985-1238078,MC69+HR भक्तपुर
थगु छेँ,"MCCH+9WW, Itachhen-15, भक्तपुर 44800",thaguchhen.com,985-1152541,तपाईंको फोनमा पठाउनुहोस्
khwapa chhen Guest House and Restaurant,"3, भक्तपुर 44800",khwapachhen.com,970-2654830,MCCG+RW भक्तपुर
Khwopa Guest House,"Ghaiti 04, भक्तपुर 44800",यहाँ अवस्थित छ: 5 storey temple,01-6614661,MCCH+3H भक्तपुर
Pradhan House Home Stay,भक्तपुर 44800,01-6611785,MCFP+R7 भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
OYO 310 Sweet Home Bhaktapur Pvt Ltd,"1, Bhaktapur Durbar Square Road, भक्तपुर 44800",oyorooms.com,MCFG+GV भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Sulabha Residency,"MC2J+W82 Darjeeling Height, भक्तपुर 44800",981-4857674,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
चागु नेवा होम स्टे,"Inbaha Tole, ward no 4 , Changunarayan Near p and p restaurants, 44600",facebook.com,984-1042007,PC8H+GX चाँगुनारायण
सिटी गेस्ट हाउस,"गोलमढ़ी -7, दाम्ला गल्लि, 44800",cityguesthouse.com.np,01-6613038,MCCJ+WJ भक्तपुर
Chef House Resort,"Birendra Chowk 7, काठमाडौँ 44600",981-8757700,M9XF+PJ काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
MeroStay 024 Bhaktapur Boutique Hotel,"MCCH+HX2 Kwachhen, भक्तपुर 44800",980-2004828,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Siddhi Home Hotel Bhaktapur,"Taumadhi Square, 05 44800",01-6612004,MCCH+GR भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
SANGI Home,भक्तपुर 44800,984-1358000,MCCG+QP भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
सिटी गाउँ होटेल,"अरनिको राजमार्ग Bachamari, अरनिको राजमार्ग, 44800",01-6540445,MC5X+VJ सुर्यविनायक,तपाईंको फोनमा पठाउनुहोस्
The Home Stay Lamatar,महालक्ष्मी,thehomestaylamatar.com,985-1026857,J9HX+HH महालक्ष्मी
Cloud 9 Garden,"बौद्ध सडक, काठमाडौँ 44600",hotelcloudnine.com.np,01-4913884,P989+X2 काठमाडौँ
ग्रिन होटल,"P9C8+C54, बौद्धनाथ सडक, काठमाडौँ 44600",01-4916705,तपाईंको फोनमा पठाउनुहोस्,चेक इन गर्ने समय: १४:००चेक आउट गर्ने समय: १२:००
Home Stay Nepal,चाँगुनारायण 44600,nepalihomestay.com,985-1080619,MCX8+4V चाँगुनारायण
Vajra Guest House,"MCFH+2RH, भक्तपुर 44800",01-6610782,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Shiva Guest House,"Durbar square, भक्तपुर 46800",bhaktapurhotel.com,985-1129912,MCCH+PC भक्तपुर
होटल हेरिटेज मल्ल,"Nasmana 13, भक्तपुर 44600",hotelheritagemalla.com.np,985-1132060,MCCG+5Q भक्तपुर
Palisade Resort,"अरनिको राजमार्ग, सुर्यविनायक 44805",palisaderesort.com.np,01-6540105,JFX8+56 सुर्यविनायक
Bhaktapur Homestay,सुर्यविनायक,facebook.com,984-0465491,MF35+MR सुर्यविनायक
Hotel View Bhaktapur,"अरनिको राजमार्ग, भक्तपुर 00977",hotelviewbhaktapur.com,984-0630104,MC7V+6W भक्तपुर
Heirtage Inn Guest House,"MCFH+4P9, Balakhu, भक्तपुर",तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्,MC7V+6W भक्तपुर
Maligaun Hills Farmhouse,"Maligaun Road, भक्तपुर",985-1199878,JCVR+CJ भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Pancha Shree Yoga Retreat,"Chhaya basti, Telkot Rd, भक्तपुर",panchasriyoga.com,986-6690671,PF89+CX भक्तपुर
Nagarkot Community Homestay,"Bastola Gaun Bus Stop, 6, Nagarkot Road, Nepa, 44812",nagarkothomestay.org,984-1211597,PF4J+XM महामञ्जुश्री नगरकोट
Sweet Home Bhaktapur Pvt Ltd,"MCFJ+42P, त्रिपुरासुन्दरी मार्ग 44800, भक्तपुर 44800",sweethomebhaktapur.com.np,01-6613778,तपाईंको फोनमा पठाउनुहोस्
हरिज होम,"Araniko Highway, Gapali, Suryabinayak, भक्तपुर 44800",oyorooms.com,MC8G+GG भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Home's Guest House(Sallaghari),भक्तपुर 44800,यहाँ अवस्थित छ: होटल ग्रिनल्यान्ड,981-1466658,MCF6+5J भक्तपुर
