Name,Location,Website,contact,mapLocation
KGH Patan,"Mikhabahal Lalitpur 20, 44600",kghpatan.com,980-1176375,M8GC+MF ललितपुर
शाक्य हाउस,ललितपुर 44700,shakyahouse.com,984-1280625,M8HG+J5 ललितपुर
Nextdoor Patan,"Kupondole Rd, ललितपुर 44600",hostelnextdoor.com,980-1002972,M8M8+X8 ललितपुर
होटेल हिमालय,"Yala Sadak 3584, ललितपुर 44600",hotelhimalaya.com.np,01-5423900,M8M9+MQ ललितपुर
Heranya Yala,"Gujibahal, ललितपुर",974-5967569,M89G+QH ललितपुर,तपाईंको फोनमा पठाउनुहोस्
हिडेन लिफ वेड एण्ड व्रेकफास्ट,"Near, ललितपुर 44600",01-5153683,M8G4+4J ललितपुर,तपाईंको फोनमा पठाउनुहोस्
Kaji Home,"Next to Beauty Within a beauty parlour, 100m from Nepal olympic committee, Bodhigram Rd, ललितपुर 44700",984-1623723,M85H+VV ललितपुर,तपाईंको फोनमा पठाउनुहोस्
Temple House,"Mamaru Galli Patko, ललितपुर 44700",templehousenepal.com,01-5424487,M8FF+FM ललितपुर
Fresco Retreat,"Narayan Bhawan, Ward No: 5, ललितपुर 44600",frescoretreat.com,981-3605525,M897+RG ललितपुर
HOTEL SIRAAJ,"M8C8+GF2 Way to British camp, CDO office road, ललितपुर 44600",984-3218215,तपाईंको फोनमा पठाउनुहोस्,चेक इन गर्ने समय: १२:००चेक आउट गर्ने समय: १२:००
Hiti Fusa:,"Thapa Galli, ललितपुर 44700",976-6388872,M89G+MH ललितपुर,तपाईंको फोनमा पठाउनुहोस्
Hotel Pleasure Home,"Thamel, काठमाडौँ 44600",hotelpleasurehome.com,01-5340734,P866+WV काठमाडौँ
Karuna Hotel Patan Kathmandu,"26/27-7, Bhindyolachhi 44600",karunahotel.com,980-1467099,M8FG+FP ललितपुर
Peace & Joy Guest House,"Lonla Tole Marga 44700, ललितपुर 44700",986-6997780,M8FH+4M ललितपुर,तपाईंको फोनमा पठाउनुहोस्
Heranya La:Ku,"Patan Durbar Square, ललितपुर 44700",hotelheranya.com,974-5967569,M8FF+9V ललितपुर
