Name,Location,Website,contact,mapLocation
Langtang View Nagarkot Bed & Breakfast,"नगरकोट सडक, महामञ्जुश्री नगरकोट 44812",01-6680111,PG99+9P महामञ्जुश्री नगरकोट,तपाईंको फोनमा पठाउनुहोस्
द होटल एट द इन्ड अफ द युनिभर्स,"PGFF+9J2, Mahankal Mandir, Nagarkot, Bhaktapur",endoftheuniverse.com.np,01-6680109,तपाईंको फोनमा पठाउनुहोस्
होटल मिस्टिक माउन्टेन,"MGXF+PRF, बालुवापाटी देउपुर 44812",hotelmysticmountain.com,01-5913205,तपाईंको फोनमा पठाउनुहोस्
होटल माउन्ट प्याराडाइज,"Nagarkot ,windy Hill Near Army combat college, 44812",hotelmountparadise.com,981-8681791,PG7C+38 महामञ्जुश्री नगरकोट
"होटल कन्ट्री भिल्ला, नगरकोट","Naldum Road, 44812",hotelcountryvilla.com,01-6680127,PGGG+G4 बालुवापाटी देउपुर
होटेल चौतारी,बालुवापाटी देउपुर 44812,hotelchautari.com,01-6680075,PGFG+8H बालुवापाटी देउपुर
Nagarkot Resort Pvt Ltd,"PG9F+65, बालुवापाटी देउपुर 44812",01-5919561,तपाईंको फोनमा पठाउनुहोस्,चेक इन गर्ने समय: १४:००चेक आउट गर्ने समय: ११:००
Hotel Village View Nagarkot,"PGFH+724, Mandandeupur-2, बालुवापाटी देउपुर 44812",01-5910584,तपाईंको फोनमा पठाउनुहोस्,चेक आउट गर्ने समय: १२:००
Hotel Silver Mountain,"Nagarkot, Bus park, 44812",यहाँ अवस्थित छ: नगरकोट,01-6680255,PG99+87 महामञ्जुश्री नगरकोट
क्लब हिमालय रिसोर्ट,"क्लब हिमालय नगरकोट रिसोर्ट, नगरकोट सडक, 44812",clubhimalaya.com.np,01-6680080,PG8C+M4 महामञ्जुश्री नगरकोट
Peaceful Cottage & Café du Mont,"Nagarkot hill Station, 44812",peacefulcottage.xyz,01-6680077,PGFF+JV महामञ्जुश्री नगरकोट
Hotel Nagarkot Holiday Inn,"Nagarkot Road, महामञ्जुश्री नगरकोट 44804",facebook.com,01-6680096,PG9C+M6 महामञ्जुश्री नगरकोट
एभरेस्ट विन्डो भ्यु होटल,"Nagarkot, Mandandepur -2, 44812",01-6680030,PG9C+G4 बालुवापाटी देउपुर,तपाईंको फोनमा पठाउनुहोस्
होटल हिमालयन भिला,बालुवापाटी देउपुर 44812,hotelhimalayanvilla.com,01-6680119,PGFH+62 बालुवापाटी देउपुर
