Name,Location,Website,contact,mapLocation
Hotel Eagle Zone,"street No.22,Bangladi, Lakeside Rd 6, पोखरा 33700",980-6639804,6XC5+84 पोखरा,तपाईंको फोनमा पठाउनुहोस्
Hotel Snowland,"Lakeside Road Main Street( In Between Street NO 13, & 14, पोखरा 33700",hotelsnowlandpokhara.com,985-6009999,6X54+GW पोखरा
Rock Garden Resort (P) Ltd.,"Pokhara 26, पोखरा 33700",rockgarden.com.np,986-1732949,6XJ7+FW पोखरा
Gantavya Resort,"gantavya St, पोखरा 33700",gantavyaresort.wordpress.com,061-450319,6X85+V4 पोखरा
Hotel Forest Lake,"Lakeside Rd, पोखरा 33700",hotelforestlake.com,061-457471,6XC4+Q2 पोखरा
होटल ल्यान्डमार्क पोखरा,"Lakeside, पोखरा 33700",landmarkpokhara.com,061-452908,6X55+52 पोखरा
Hotel Barahi Pokhara,"Lakeside Rd 6, पोखरा 33700",barahi.com,985-1354455,6X55+9G पोखरा
Hotel Himalayan Inn,"Lakeside Rd 6, पोखरा 33700",hotelhimalayaninn.com,061-466042,6X47+R3 पोखरा
Lake View Resort,"Main Road 126, पोखरा 33700",lakeviewpokhara.com,061-451477,6X36+WW पोखरा
Sarangkot Mountain Lodge,"साराङकोट रोड, पोखरा 33700",sarangkotmountainlodge.com,985-1355861,7W2R+HV पोखरा
Hotel Sarowar,"14th Street 15, पोखरा 33700",यहाँ अवस्थित छ: Tal Barahi Secondary School,hotelsarowar.com,061-506302
पोखरा ग्रान्ड,"H10, पोखरा 33700",pokharagrande.com,061-450210,5XVF+2J पोखरा
Hotel Blossom,"Middle Path St, पोखरा 33700",instagram.com,980-4141035,6X65+GM पोखरा
Pokhara Tourist Home,"Street 24, Khahare, Lakeside Rd 06, पोखरा 33700",pokharatouristhome.com,984-8256623,6X86+R2 पोखरा
The Castle Resort,"Sedi Heights, Lakeside Rd 18, पोखरा 33700",985-1077780,6XF5+P9 पोखरा,तपाईंको फोनमा पठाउनुहोस्
Himalayan Front by KGH Group,"साराङकोट रोड, पोखरा 33700",himalayanfront.com,980-1166350,6XVF+RP पोखरा
Tuki Resort,"प्रगती मार्ग 06, पोखरा 33600",tukiresort.com,061-456037,6X86+62 पोखरा
Bodhi Suites Boutique Hotel and Spa,"6X55+QW8, Barahi Street, Lakeside Rd, पोखरा 33700",061-457657,तपाईंको फोनमा पठाउनुहोस्,चेक इन गर्ने समय: १४:००चेक आउट गर्ने समय: १२:००
Zostel Pokhara,"Pokhara 18, Sedi Bagar, Lakeside, पोखरा 33700",zostel.com,986-9273860,6XF2+GM पोखरा
Hotel Pristine Himalaya,"main street, पोखरा 33700",986-3376561,6WVX+QM पोखरा,तपाईंको फोनमा पठाउनुहोस्
Hotel Spring,"Durbar Marg 6, पोखरा 33700",hotelspringpokhara.com,061-457351,6X55+2R पोखरा
Hotel Trekkers Inn,"Shiva Marga 7, पोखरा 44600",061-453244 ext. 06,6X46+FM पोखरा,तपाईंको फोनमा पठाउनुहोस्
Hotel Grace Pokhara,"Lakeside Rd 9, पोखरा 33700",986-1720066,6X56+87 पोखरा,तपाईंको फोनमा पठाउनुहोस्
Majestic Lake Front Hotel & Suites,"Baidam Rd, पोखरा 33700",majesticlakefront.com,061-591601,6X95+36 पोखरा
Hotel Plaza Nepal,पोखरा 33700,hotelplazanepal.com,984-4286724,6X47+W3 पोखरा
Hotel Pristine Himalaya,"main street, पोखरा 33700",986-3376561,6WVX+QM पोखरा,तपाईंको फोनमा पठाउनुहोस्
पोखरा ग्रान्ड,"H10, पोखरा 33700",pokharagrande.com,061-450210,5XVF+2J पोखरा
MYAGDI KOROLA GUEST HOUSE AND BHANCHHA GHAR POKHARA,"Bhimpath magra, पोखरा 33700",यहाँ अवस्थित छ: Bhimpath,myagdikorolaguesthouse.blogspot.com,980-6579115
होटल एडम,"Lakeside Rd, पोखरा 33700",061-462844 ext. 464906,6X64+QQ पोखरा,तपाईंको फोनमा पठाउनुहोस्
Hotel The Cherry Garden,"Lalupate marg, पोखरा 33700",061-456924,6X66+M7 पोखरा,तपाईंको फोनमा पठाउनुहोस्
Hotel Fewa Trip,"Hallan Chowk, पोखरा 33700",hotelfewatrip.com,985-6075938,6X75+CQ पोखरा
Hotel Splendid View,"Gaurighat , Lake Side, Baidam, पोखरा 37700",hotelsplendidview.com,061-456034,6X46+JG पोखरा
Gaurishankar Backpacker’s hostel,"Durbar Marg, पोखरा 33700",061-462422,6X46+HP पोखरा,तपाईंको फोनमा पठाउनुहोस्
Three Jewels Boutique Hotel,"Lakeside Rd, पोखरा 33700",982-5144008,6X76+68 पोखरा,तपाईंको फोनमा पठाउनुहोस्
"Hotel Yatri - Pokhara , Nepal","Lakeside Rd, पोखरा 33700",यहाँ अवस्थित छ: Atithi Resort & SPA Pvt. Ltd.,yatrihotel.com.np,986-5110646
Waterfront Resort by KGH Group,"Lakeside Rd, पोखरा 33700",waterfronthotelnepal.com,980-1166303,6XC2+PJ पोखरा
Hotel Mala Pokhara,"street 13, Street No. 13, पोखरा 33700",061-468116,6X56+W3 पोखरा,तपाईंको फोनमा पठाउनुहोस्
Everest Guest house Lakeside Pokhara,"Baidam Rd, पोखरा 33700",cracktour.net,981-3852699,6X75+Q6 पोखरा
Hotel High Ground Inn Sarangkot,"साराङकोट रोड, पोखरा 33700",984-6799919,6WVX+M5 पोखरा,तपाईंको फोनमा पठाउनुहोस्
Atithi Resort & SPA Pvt. Ltd.,पोखरा 33700,atithiresort.com,061-456760,6X48+PP पोखरा
Hotel Mala Pokhara,"street 13, Street No. 13, पोखरा 33700",061-468116,6X56+W3 पोखरा,तपाईंको फोनमा पठाउनुहोस्
Everest Guest house Lakeside Pokhara,"Baidam Rd, पोखरा 33700",cracktour.net,981-3852699,6X75+Q6 पोखरा
Hotel High Ground Inn Sarangkot,"साराङकोट रोड, पोखरा 33700",984-6799919,6WVX+M5 पोखरा,तपाईंको फोनमा पठाउनुहोस्
Atithi Resort & SPA Pvt. Ltd.,पोखरा 33700,atithiresort.com,061-456760,6X48+PP पोखरा
होटल मध्य मार्ग,"Middle Path St, पोखरा 33700",hotel-middlepath.com,061-452812,6X65+GW पोखरा
Dahlia Boutique Hotel,"Lakeside Rd, पोखरा 33700",dahliahotel.com,061-456505,6X38+J9 पोखरा
Hotel Snow Peak,"Lakeside Rd, पोखरा 33700",hotelsnowpeak.com,061-457871,6X29+V3 पोखरा
