Name,Location,Website,contact,mapLocation
होटल ठमेल हाउस,"ठमेल मार्ग 1, काठमाडौँ 44600",hotelthamelhouse.com.np,01-4517568,P886+QP काठमाडौँ
नेपाल पेभिलियन ईन,"Amrit Marg, Thamel Post Box 6062, काठमाडौँ 44600",nepalpavilioninn.com,01-5320383,P866+JR काठमाडौँ
होटल श्री गुरू,"बागदरबार मार्ग, काठमाडौँ 44600",oyorooms.com,M8X6+P9 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
ट्रेकर्स होम,"चाक्सीवारी मार्ग, काठमाडौँ 44600",trekkershome.com,984-9234718,P876+C4 काठमाडौँ
Hotel Pleasure Home,"Thamel, काठमाडौँ 44600",hotelpleasurehome.com,01-5340734,P866+WV काठमाडौँ
OYO 123 Hotel Prince Plaza,"Hotel Prince Plaza, काठमाडौँ 44600",oyorooms.com,P86M+FF काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Gurung's Home,"Dafyosworu Marg, काठमाडौँ 44600",gurungshome.com,01-4957810,P8C4+J6 काठमाडौँ
"The Everest Hotel, Kathmandu","Madan Bhandari Road, काठमाडौँ 44600",theeveresthotel.com,01-4790100,M8QM+JG काठमाडौँ
Hotel Palazzo,काठमाडौँ 44600,hotelpalazzo.com.np,976-1610635,M7WH+2R काठमाडौँ
होटेल याला पिक,"Thamel Marg, काठमाडौँ 44600",hotelyalapeak.com,01-5358996,P866+XH काठमाडौँ
Grand Yak Boutique Hotel,काठमाडौँ 44600,01-5914344,P867+M8 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
हिमालयन सुइट होटल,"Kumari Club, काठमाडौँ 44600",himalayansuite.com,01-4956486,P8C6+C4 काठमाडौँ
आरुशी बुटिक होटल,"Post Box 4682, Kunfen Marg, काठमाडौँ 44600",arushiboutiquehotel.com,01-5366868,P875+6Q काठमाडौँ
होटल नेपालय,"Maitripura Mahavihara, ठमेल मार्ग, काठमाडौँ 21292",hotelnepalaya.com,01-5369141,P866+QG काठमाडौँ
Kathmandu Business Hotel,काठमाडौँ 44600,kbhthamel.com,01-5919384,P877+34 काठमाडौँ
Kathmandu Peace Home,"Peace Home, Basuki Marg, काठमाडौँ 44600",kathmandupeacehome.com,984-9439809,P8F5+66 काठमाडौँ
Hotel Ama-la Thamel Kathmandu,"JP Road, काठमाडौँ 44601",01-4250761,P865+PX काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Ramada Encore by Wyndham Kathmandu Thamel,"P885+GFG, Z Street 1, काठमाडौँ 44600",wyndhamhotels.com,01-4700404,तपाईंको फोनमा पठाउनुहोस्
होटेल शिभम् प्लाजा,"नेपाल सांकृतिक सङ्घ, Kalika Marg, काठमाडौँ 44621",oyorooms.com,01-5913735,P83W+VP काठमाडौँ
होटेल शंकर,काठमाडौँ 44600,shankerhotel.com.np,01-4510151,P899+HQ काठमाडौँ
काठमाडाैँ नाेम्याड होटल,"narsing chowck, काठमाडौँ 44600",01-5351720,P876+99 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Hotel Barahi Kathmandu,"त्रिदेवी सडक, काठमाडौँ 44600",barahi.com,985-1355862,P878+C2 काठमाडौँ
Royal Empire Boutique Hotel,काठमाडौँ 44600,01-4000542,P8FH+5C काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Hotel Highlander,"Hotel Highlander, Thamel Bagmati, 44600",highlander-inn.com,985-1149890,P875+XW काठमाडौँ
